語句,品詞,意味（小学校の単語リスト）
nice,形,すてきな、よい
to,前,【不定詞（名詞的）】…する［である］こと
meet,動,…と知り合いになる
you,代,あなた（たち）を［に］
good,形,よい
morning,名,朝、午前
I,代,私は［が］
am,動,…です、…だ
hi,間,やあ、こんにちは
my,代,私の
name,名,名前
is,動,…です、…だ
hello,間,やあ、こんにちは
do,助,［疑問文や応答を作る］
like,動,…を好む、…が好きである
tennis,名,テニス
yes,副,はい、ええ、そうです
you,代,あなた（たち）は［が］
apple,名,リンゴ
bat,名,バット
cat,名,ネコ
dog,名,イヌ
egg,名,卵
flower,名,花
gorilla,名,ゴリラ
horse,名,ウマ
ink,名,インク
jump,動,とぶ
koala,名,コアラ
log,名,丸太
monkey,名,サル
net,名,網、ネット
octopus,名,タコ
pan,名,平なべ
queen,名,女王、王妃
rabbit,名,ウサギ
snake,名,ヘビ
tree,名,木、樹木
umbrella,名,傘
V sign,名,ブイサイン
wolf,名,オオカミ
fox,名,キツネ
yo-yo,名,（おもちゃの）ヨーヨー
zipper,名,ジッパー、ファスナー
city,名,市、都市、都会
gym,名,体育館
apron,名,エプロン
evening,名,夕方、晩［ふつう日没から寝る時刻までをさす］
ice,名,氷
ocean,名,大洋、海
uniform,名,制服、ユニフォーム
fan,名,扇、うちわ、扇風機
pen,名,ペン
ten,名/形,10（の）
sun,名,太陽、日
run,動,走る、運行している
hat,名,（ふちのある）帽子
hot,形,熱い、暑い
cup,名,カップ
cap,名,（ふちがないか、ひさしのついた）帽子
map,名,地図
mop,名,モップ
cut,動,…を切る、…の供給をとめる
TV,名,テレビ（放送）
milk,名,牛乳、ミルク
box,名,箱
bag,名,かばん、バッグ、ふくろ
desk,名,机
bed,名,ベッド
red,名/形,赤（い）
P.E.,名,体育
play,動,（競技・ゲームなどを）する、（曲・楽器などを）演奏する
soccer,名,サッカー
have,動,…を持っている、…がある、…がいる、…を飼っている
a,冠,1つの、1人の［数えられる名詞の前に置く。ふつう訳さない］
want,動,…がほしい
everyone,代,みなさん、みんな、だれでも
me,代,私を［に］
from,前,【起源・出所】…から、…出身の、…に由来する
Japanese,形,日本の、日本人の、日本語の
sweet,名,甘い菓子、キャンディー
and,接,…と～
too,副,…もまた、そのうえ
join,動,…に加わる、参加する
the,冠,［状況や文脈から何をさすかわかる場合］その
club,名,クラブ、部
number,名,数、数字
one,名/形,1つ［1人］（の）
two,名/形,2（つの）
three,名/形,3（つの）
four,名/形,4（つの）
five,名/形,5（つの）
six,名/形,6（つの）
seven,名/形,7（つの）
eight,名/形,8（つの）
nine,名/形,9（つの）
eleven,名/形,11（の）
twelve,名/形,12（の）
thirteen,名/形,13（の）
fourteen,名/形,14（の）
fifteen,名/形,15（の）
sixteen,名/形,16（の）
seventeen,名/形,17（の）
eighteen,名/形,18（の）
nineteen,名/形,19（の）
twenty,名/形,20（の）
thirty,名/形,30（の）
forty,名/形,40（の）
fifty,名/形,50（の）
sixty,名/形,60（の）
seventy,名/形,70（の）
eighty,名/形,80（の）
ninety,名/形,90（の）
hundred,名/形,100（の）
zero,名/形,0（の）
rugby,名,ラグビー
watch,動,…を（注意して）見る
friend,名,友達
great,形,すばらしい、とても楽しい
no,副,いいえ、いや、だめだ
not,副,…でない、…しない、…ではなく
oh,間,まあ、あら、ああ、おや
do,助,［否定文や否定の命令文を作る］
comic,名,マンガ
wow,間,うわあ、わあ
are,動,…です、…だ
in,前,【従事・所属】…に所属して、参加して
art,名,芸術、美術
how,副,【状態】どんなようす［ぐあい］で
school,名,学校
now,副,今、現在は、今では、今すぐ
take,動,…を利用する、…を受ける
swimming,名,水泳
shop,名,店
cherry,名,さくらんぼ
think,動,考える、思う
this,代,これ、この人［もの、こと］
white,名/形,白（い）
photo,名,写真［photographを短縮した語］
sing,動,（ …を）歌う
black,名/形,黒（い）
cake,名,ケーキ
we,代,私たちは［が］
rice,名,米、稲、ご飯
home,名,家庭、家
cute,形,かわいい
fish,名,魚［複数形もfish］
lunch,名,昼食
king,名,王、国王
math,名,数学
English,名,英語
strong,形,強い、じょうぶな
bath,名,入浴
clock,名,（置き［かけ］）時計
lake,名,湖、湖水
bike,名,自転車
game,名,遊び、ゲーム
shrine,名,神社
nose,名,鼻
Ms.,名,［女性をさして］…さん、先生
Mr.,名,［男性をさして］…さん、先生
he,代,彼は［が］
she,代,彼女は［が］
new,形,新しい、新任の
teacher,名,先生、教師
on,前,【所属】…の一員で、…に属して
team,名,チーム、組
at,前,【評価の対象】…は、…が、…に関しては
cool,形,かっこいい
English,形,英語の、英語で書かれた
good,形,じょうずな、うまい
food,名,食べ物
father,名,父、お父さん
can,助,【能力・可能】…することができる
make,動,…を作る、得る
very,副,非常に、とても、［否定文で］あまり（…でない）
well,副,じょうずに、うまく、よく
that,代,［すでに述べた事柄をさして］そのこと、それ
read,動,（…を）読む、読んで知る
really,副,本当ですか、へえ、そうなんだ
see,動,（…が）わかる、理解する
your,代,あなた（たち）の
thank,動,…に感謝する
it,代,それは［が］
bird,名,鳥
that,代,あれ、それ、あの［その］人［もの、こと］
are,動,（…に）いる、ある
e-mail,名,Eメール
May,名,5月
green,名/形,緑（の）
tea,名,茶、紅茶
blue,名/形,青（い）
juice,名,ジュース
zoo,名,動物園
book,名,本
train,名,列車、電車
rain,名,雨
glue,名,接着剤、のり
fruit,名,果物、果実
beef,名,牛肉
sea,名,海、海洋
season,名,季節
peach,名,モモ
day,名,日、1日
beach,名,浜、海辺、ビーチ
speak,動,（ある言語）を話す
rainy,形,雨の、雨の多い
cheese,名,チーズ
room,名,部屋
classroom,名,教室
swimming pool,名,（水泳用の）プール
cook,動,（…を）料理する
cooking,名,料理、料理法
textbook,名,教科書
notebook,名,ノート
today,名/副,今日（は）、現在では
usually,副,たいてい、ふつう
drink,動,…を飲む
green tea,名,緑茶
it,代,［天候・時間・距離などを表す文の主語に用いる］
what,代,何、どんなもの［こと］
family,名,一族
who,代,だれ、だれが
why,副,なぜ、どうして
brave,形,勇かんな、勇ましい
kind,形,親切な、やさしい
the,冠,［一度述べた名詞をくり返す場合］その、この、あの、例の
live,動,住む、住んでいる、生きる、暮らす、ずっと残る
come,動,来る、（相手のところへ・相手と同方向へ）行く、巡ってくる
by,前,【手段・方法・原因】…によって
walk,動,（…を）歩く、歩いていく［くる］
when,副,いつ、どんなときに
study,動,（…を）勉強する、研究する
week,名,週、1週間
Sunday,名,日曜日
Monday,名,月曜日
Tuesday,名,火曜日
Wednesday,名,水曜日
Thursday,名,木曜日
Friday,名,金曜日
Saturday,名,土曜日
how,副,【方法・手段】どのようにして、どんなふうに
to,前,【方向・到達】…へ［に］、…のほうへ［に］
on,前,【日時】…に
do,動,（…を）する、行う
Japanese,名,日本語、日本人
where,副,どこに［で、へ］
practice,動,（ …を）練習する
hard,副,熱心に、一生懸命に
go,動,行く
park,名,公園、遊園地
station,名,駅
under,前,…の下に［で］、…のもとに
month,名,（暦の上での）月、1か月
date,名,日、日付
January,名,1月
February,名,2月
March,名,3月
April,名,4月
June,名,6月
July,名,7月
August,名,8月
September,名,9月
October,名,10月
November,名,11月
December,名,12月
first,名/形,1日、1番め（の）、最初（の）
second,名/形,2日、2番め（の）
third,名/形,3日、3番め（の）
in,前,【場所・位置】…（の中）に［で、の］
game,名,試合、競技
and,接,［comeやgoのあとに用いて］…しに（来る、行く）
see,動,…が見える、…を見る、見物する
at,前,【場所】…に、…で
is,動,（…に）いる、ある
by,前,【場所】…のそばに
on,前,【場所】…（の上）に［で］、（本など）に載って
sister,名,姉、妹、姉妹
car,名,車、自動車
girl,名,女の子、少女
small,形,小さい
boy,名,男の子、少年
mouse,名,ネズミ、ハツカネズミ
brown,名/形,茶色（の）
water,名,水
T-shirt,名,Tシャツ
star,名,星
round,形,丸い、球形の
baseball,名,野球
summer,名,夏
winter,名,冬
house,名,家、住宅
town,名,町
sound,名,音
mother,名,母、お母さん
enjoy,動,…を楽しむ
fall,名,秋
party,名,パーティー
bake,動,（パンなど）を焼く
ball,名,ボール、球
birthday,名,誕生日
animal,名,動物
visit,動,（人・場所）を訪ねる
Japan,名,日本
many,形,［ 数えられる名詞の複数形につけて］たくさんの、多くの
really,副,本当に、実際に
family,名,家族
how,副,【程度】どれくらい
time,名,時刻
afternoon,名,午後
sport,名,スポーツ
a.m.,副,午前
p.m.,副,午後
basketball,名,バスケットボール
what,形,何の、どんな
sound,動,…に聞こえる、思える
the,冠,［天体・時・方角など、1つしかないものをさす場合］the afternoon 午後
this,代,今、今回
turn,名,順番、番
